,image,elo_reduced
323,Team 12 (Whampoa)_Chau Kin On (Mark)_29.jpg,0.0
324,Team 12 (Whampoa)_Chau Kin On (Mark)_45.jpg,-1.4
325,Team 12 (Whampoa)_Chau Kin On (Mark)_47.jpg,-0.5
326,Team 12 (Whampoa)_Chau Kin On (Mark)_8.jpg,0.7
327,Team 12 (Whampoa)_Chau Kin On (Mark)_95.jpg,0.2
328,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_1.jpg,-2.2
329,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_10.jpg,-1.7
330,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_111.jpg,-0.7
331,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_116.jpg,-0.4
332,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_117.jpg,0.2
333,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_13.jpg,-1.8
334,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_132.jpg,-2.3
335,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_133.jpg,-1.7
336,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_134.jpg,-0.5
337,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_138.jpg,-1.1
338,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_139.jpg,0.9
339,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_144.jpg,-0.4
340,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_152.jpg,-0.5
341,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_156.jpg,-0.2
342,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_162.jpg,-0.9
343,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_168.jpg,-0.4
344,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_171.jpg,-1.1
345,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_177.jpg,-1.1
346,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_184.jpg,-1.4
347,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_187.jpg,-0.6
348,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_202.jpg,-0.8
349,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_219.jpg,-1.7
350,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_224.jpg,-0.8
351,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_232.jpg,-0.5
352,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_27.jpg,-1.3
353,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_3.jpg,-2.2
354,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_32.jpg,-1.4
355,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_34.jpg,-1.5
356,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_51.jpg,0.2
357,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_52.jpg,-0.6
358,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_60.jpg,-0.7
359,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_83.jpg,-1.5
360,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_94.jpg,0.4
361,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_98.jpg,-0.4
362,Team 12 (Whampoa)_Lam Chun Ho (Johnny)_99.jpg,0.4
363,Team 12 (Whampoa)_Lau Chun San (Percy)_10.jpg,-0.6
364,Team 12 (Whampoa)_Lau Chun San (Percy)_111.jpg,1.6
365,Team 12 (Whampoa)_Lau Chun San (Percy)_133.jpg,0.3
366,Team 12 (Whampoa)_Lau Chun San (Percy)_134.jpg,-0.8
367,Team 12 (Whampoa)_Lau Chun San (Percy)_163.jpg,0.6
368,Team 12 (Whampoa)_Lau Chun San (Percy)_189.jpg,0.9
369,Team 12 (Whampoa)_Lau Chun San (Percy)_191.jpg,0.2
370,Team 12 (Whampoa)_Lau Chun San (Percy)_202.jpg,0.7
371,Team 12 (Whampoa)_Lau Chun San (Percy)_208.jpg,-1.0
372,Team 12 (Whampoa)_Lau Chun San (Percy)_222.jpg,-0.0
373,Team 12 (Whampoa)_Lau Chun San (Percy)_227.jpg,-0.4
374,Team 12 (Whampoa)_Lau Chun San (Percy)_229.jpg,-0.7
375,Team 12 (Whampoa)_Lau Chun San (Percy)_230.jpg,0.6
376,Team 12 (Whampoa)_Lau Chun San (Percy)_241.jpg,-0.1
377,Team 12 (Whampoa)_Lau Chun San (Percy)_243.jpg,-0.3
378,Team 12 (Whampoa)_Lau Chun San (Percy)_26.jpg,0.1
379,Team 12 (Whampoa)_Lau Chun San (Percy)_31.jpg,-0.8
380,Team 12 (Whampoa)_Lau Chun San (Percy)_77.jpg,-1.7
381,Team 12 (Whampoa)_Lau Chun San (Percy)_83.jpg,-1.1
382,Team 12 (Whampoa)_Lau Chun San (Percy)_85.jpg,-1.3
383,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_115.jpg,-0.9
384,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_117.jpg,0.3
385,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_123.jpg,-1.6
386,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_133.jpg,1.1
387,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_137.jpg,-0.9
388,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_139.jpg,-0.5
389,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_150.jpg,-1.8
390,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_178.jpg,2.0
391,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_179.jpg,-0.3
392,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_193.jpg,0.0
393,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_198.jpg,0.7
394,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_20.jpg,-1.8
395,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_202.jpg,2.1
396,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_206.jpg,1.3
397,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_208.jpg,0.7
398,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_210.jpg,1.1
399,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_212.jpg,1.3
400,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_216.jpg,0.8
401,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_218.jpg,1.2
402,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_221.jpg,0.5
403,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_235.jpg,-0.5
404,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_237.jpg,-1.3
405,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_251.jpg,-1.6
406,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_28.jpg,-2.2
407,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_29.jpg,-2.7
408,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_35.jpg,-2.1
409,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_47.jpg,0.9
410,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_50.jpg,-0.1
411,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_58.jpg,-0.6
412,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_61.jpg,-2.1
413,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_63.jpg,-2.1
414,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_72.jpg,-1.0
415,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_78.jpg,-0.9
416,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_8.jpg,-1.1
417,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_83.jpg,-1.4
418,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_87.jpg,-2.3
419,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_95.jpg,-1.9
420,Team 12 (Whampoa)_Tam Chin Hang (Nigel)_97.jpg,-1.4
421,Team 12 (Whampoa)_Vansh Manoj Jain_105.jpg,0.9
422,Team 12 (Whampoa)_Vansh Manoj Jain_13.jpg,-0.8
423,Team 12 (Whampoa)_Vansh Manoj Jain_131.jpg,-1.0
424,Team 12 (Whampoa)_Vansh Manoj Jain_133.jpg,-0.3
425,Team 12 (Whampoa)_Vansh Manoj Jain_135.jpg,0.0
426,Team 12 (Whampoa)_Vansh Manoj Jain_136.jpg,-0.2
427,Team 12 (Whampoa)_Vansh Manoj Jain_161.jpg,0.8
428,Team 12 (Whampoa)_Vansh Manoj Jain_168.jpg,-0.8
429,Team 12 (Whampoa)_Vansh Manoj Jain_171.jpg,-1.0
430,Team 12 (Whampoa)_Vansh Manoj Jain_192.jpg,-0.3
431,Team 12 (Whampoa)_Vansh Manoj Jain_193.jpg,-0.9
432,Team 12 (Whampoa)_Vansh Manoj Jain_195.jpg,1.0
433,Team 12 (Whampoa)_Vansh Manoj Jain_198.jpg,0.5
434,Team 12 (Whampoa)_Vansh Manoj Jain_200.jpg,-0.1
435,Team 12 (Whampoa)_Vansh Manoj Jain_215.jpg,-0.2
436,Team 12 (Whampoa)_Vansh Manoj Jain_217.jpg,-0.2
437,Team 12 (Whampoa)_Vansh Manoj Jain_29.jpg,0.2
438,Team 12 (Whampoa)_Vansh Manoj Jain_46.jpg,-1.8
439,Team 12 (Whampoa)_Vansh Manoj Jain_54.jpg,0.3
440,Team 12 (Whampoa)_Vansh Manoj Jain_56.jpg,-0.4
441,Team 12 (Whampoa)_Vansh Manoj Jain_59.jpg,0.3
442,Team 12 (Whampoa)_Vansh Manoj Jain_7.jpg,0.5
443,Team 12 (Whampoa)_Vansh Manoj Jain_73.jpg,-0.7
444,Team 12 (Whampoa)_Vansh Manoj Jain_83.jpg,0.4
445,Team 12 (Whampoa)_Vansh Manoj Jain_89.jpg,1.5
446,Team 12 (Whampoa)_Vansh Manoj Jain_91.jpg,0.4
447,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_105.jpg,0.4
448,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_115.jpg,1.2
449,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_124.jpg,-0.6
450,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_128.jpg,-1.3
451,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_129.jpg,-1.1
452,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_137.jpg,-1.0
453,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_146.jpg,-0.3
454,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_148.jpg,1.1
455,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_151.jpg,-1.3
456,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_152.jpg,-0.5
457,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_164.jpg,-0.6
458,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_187.jpg,0.7
459,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_190.jpg,-1.4
460,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_191.jpg,0.1
461,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_212.jpg,1.9
462,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_215.jpg,0.7
463,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_217.jpg,0.1
464,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_23.jpg,0.7
465,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_26.jpg,1.2
466,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_47.jpg,1.0
467,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_6.jpg,0.4
468,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_68.jpg,-0.2
469,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_77.jpg,1.1
470,Team 13 (Sai Ying Pun)_Chan Hoi Wang (Billy)_84.jpg,0.5
471,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_103.jpg,-1.1
472,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_117.jpg,0.7
473,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_119.jpg,0.7
474,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_127.jpg,-1.6
475,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_133.jpg,-1.4
476,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_136.jpg,-1.0
477,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_147.jpg,-0.1
478,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_160.jpg,1.6
479,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_172.jpg,-0.7
480,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_179.jpg,0.6
481,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_195.jpg,-0.0
482,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_199.jpg,0.1
483,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_210.jpg,-0.1
484,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_226.jpg,0.3
485,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_228.jpg,0.7
486,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_255.jpg,0.0
487,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_258.jpg,0.6
488,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_259.jpg,-0.3
489,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_34.jpg,0.5
490,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_36.jpg,-0.2
491,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_38.jpg,0.8
492,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_70.jpg,0.0
493,Team 13 (Sai Ying Pun)_Cheung Ka Fai (Jason)_79.jpg,-0.9
494,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_119.jpg,-1.0
495,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_129.jpg,-1.9
496,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_145.jpg,0.5
497,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_150.jpg,-1.0
498,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_152.jpg,-0.7
499,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_160.jpg,1.0
500,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_169.jpg,-1.1
501,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_175.jpg,-0.8
502,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_182.jpg,-0.6
503,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_185.jpg,-0.9
504,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_19.jpg,-0.6
505,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_192.jpg,-0.6
506,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_20.jpg,-0.1
507,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_21.jpg,0.7
508,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_215.jpg,0.1
509,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_218.jpg,0.7
510,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_22.jpg,0.6
511,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_223.jpg,0.1
512,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_226.jpg,-0.4
513,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_235.jpg,0.1
514,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_236.jpg,0.8
515,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_237.jpg,0.4
516,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_244.jpg,0.1
517,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_246.jpg,0.3
518,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_3.jpg,0.2
519,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_33.jpg,-0.8
520,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_34.jpg,0.2
521,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_45.jpg,-0.3
522,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_67.jpg,1.1
523,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_68.jpg,-0.7
524,Team 13 (Sai Ying Pun)_Siu Ka Sing (Benny)_80.jpg,0.7
525,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_101.jpg,-0.6
526,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_127.jpg,0.4
527,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_136.jpg,0.8
528,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_152.jpg,-0.1
529,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_156.jpg,0.9
530,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_160.jpg,0.5
531,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_177.jpg,1.7
532,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_181.jpg,0.6
533,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_183.jpg,1.0
534,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_193.jpg,1.3
535,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_196.jpg,0.9
536,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_199.jpg,1.9
537,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_20.jpg,0.8
538,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_202.jpg,0.6
539,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_21.jpg,0.3
540,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_228.jpg,0.9
541,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_236.jpg,0.4
542,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_238.jpg,0.2
543,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_240.jpg,0.3
544,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_28.jpg,1.0
545,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_3.jpg,0.4
546,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_35.jpg,1.3
547,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_46.jpg,2.0
548,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_58.jpg,1.1
549,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_59.jpg,1.5
550,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_60.jpg,1.9
551,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_67.jpg,-0.5
552,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_93.jpg,1.0
553,Team 13 (Sai Ying Pun)_Thadani Simran Sanjay_99.jpg,0.9
554,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_101.jpg,0.3
555,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_107.jpg,-0.4
556,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_108.jpg,-1.3
557,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_111.jpg,0.3
558,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_124.jpg,-0.1
559,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_132.jpg,0.7
560,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_134.jpg,2.0
561,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_138.jpg,1.0
562,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_15.jpg,-0.7
563,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_150.jpg,1.6
564,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_163.jpg,-0.3
565,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_17.jpg,-1.6
566,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_192.jpg,0.1
567,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_2.jpg,0.0
568,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_205.jpg,0.9
569,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_216.jpg,0.7
570,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_226.jpg,-0.1
571,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_250.jpg,0.7
572,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_259.jpg,-0.2
573,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_41.jpg,-1.1
574,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_68.jpg,1.8
575,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_7.jpg,-0.2
576,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_71.jpg,1.0
577,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_73.jpg,0.3
578,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_81.jpg,-0.9
579,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_84.jpg,-0.5
580,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_92.jpg,0.1
581,Team 13 (Sai Ying Pun)_Tse Man Ho (Harry)_95.jpg,0.0
582,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_105.jpg,0.3
583,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_121.jpg,0.4
584,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_123.jpg,0.4
585,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_143.jpg,1.1
586,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_144.jpg,1.1
587,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_151.jpg,-0.5
588,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_155.jpg,2.2
589,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_158.jpg,0.7
590,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_163.jpg,1.2
591,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_171.jpg,1.2
592,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_176.jpg,1.3
593,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_197.jpg,1.6
594,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_208.jpg,-1.3
595,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_209.jpg,-1.9
596,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_214.jpg,-1.1
597,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_226.jpg,0.6
598,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_25.jpg,0.8
599,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_27.jpg,1.8
600,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_32.jpg,0.9
601,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_46.jpg,0.2
602,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_51.jpg,1.1
603,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_6.jpg,1.0
604,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_7.jpg,1.2
605,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_76.jpg,-0.7
606,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_86.jpg,-0.5
607,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_97.jpg,-0.5
608,Team 13 (Sai Ying Pun)_Wan Hing Yin (James)_98.jpg,0.5
609,Team 14 (Tsim Sha Tsui)_Chan Trisha_108.jpg,1.4
610,Team 14 (Tsim Sha Tsui)_Chan Trisha_122.jpg,-0.7
611,Team 14 (Tsim Sha Tsui)_Chan Trisha_139.jpg,-2.1
612,Team 14 (Tsim Sha Tsui)_Chan Trisha_146.jpg,1.4
613,Team 14 (Tsim Sha Tsui)_Chan Trisha_149.jpg,-0.4
614,Team 14 (Tsim Sha Tsui)_Chan Trisha_16.jpg,-0.1
615,Team 14 (Tsim Sha Tsui)_Chan Trisha_17.jpg,-1.0
616,Team 14 (Tsim Sha Tsui)_Chan Trisha_171.jpg,-0.2
617,Team 14 (Tsim Sha Tsui)_Chan Trisha_18.jpg,0.3
618,Team 14 (Tsim Sha Tsui)_Chan Trisha_185.jpg,-0.8
619,Team 14 (Tsim Sha Tsui)_Chan Trisha_186.jpg,-0.3
620,Team 14 (Tsim Sha Tsui)_Chan Trisha_189.jpg,-0.9
621,Team 14 (Tsim Sha Tsui)_Chan Trisha_191.jpg,-0.6
622,Team 14 (Tsim Sha Tsui)_Chan Trisha_2.jpg,-0.3
623,Team 14 (Tsim Sha Tsui)_Chan Trisha_20.jpg,0.4
624,Team 14 (Tsim Sha Tsui)_Chan Trisha_216.jpg,-0.4
625,Team 14 (Tsim Sha Tsui)_Chan Trisha_233.jpg,-0.9
626,Team 14 (Tsim Sha Tsui)_Chan Trisha_234.jpg,-1.3
627,Team 14 (Tsim Sha Tsui)_Chan Trisha_25.jpg,0.6
628,Team 14 (Tsim Sha Tsui)_Chan Trisha_28.jpg,-0.0
629,Team 14 (Tsim Sha Tsui)_Chan Trisha_3.jpg,-0.3
630,Team 14 (Tsim Sha Tsui)_Chan Trisha_33.jpg,-1.2
631,Team 14 (Tsim Sha Tsui)_Chan Trisha_34.jpg,-1.2
632,Team 14 (Tsim Sha Tsui)_Chan Trisha_36.jpg,-0.6
633,Team 14 (Tsim Sha Tsui)_Chan Trisha_41.jpg,0.9
634,Team 14 (Tsim Sha Tsui)_Chan Trisha_71.jpg,0.4
635,Team 14 (Tsim Sha Tsui)_Chan Trisha_85.jpg,0.6
636,Team 14 (Tsim Sha Tsui)_Chan Trisha_88.jpg,-1.1
637,Team 14 (Tsim Sha Tsui)_Chan Trisha_9.jpg,0.3
638,Team 14 (Tsim Sha Tsui)_Chan Trisha_90.jpg,-1.1
639,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_122.jpg,-1.3
640,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_128.jpg,-1.1
641,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_132.jpg,-1.2
642,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_14.jpg,-0.3
643,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_156.jpg,-1.6
644,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_164.jpg,-0.9
645,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_176.jpg,-0.2
646,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_190.jpg,-1.1
647,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_20.jpg,2.1
648,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_203.jpg,-2.2
649,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_205.jpg,-1.7
650,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_214.jpg,-1.9
651,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_233.jpg,-0.9
652,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_238.jpg,-0.4
653,Team 14 (Tsim Sha Tsui)_Fung Ho Kit (Justin)_242.jpg,0.0
